graph6 string,levelable,minimized solution
H?BEFz},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
H?BEFz|,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H?BEFzz,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H?BEFzv,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H?BEFy~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H?BEFz~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
H?BEFnm,F,NA
H?BEFn},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
H?BEFnn,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
H?BEFn~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
H?BEF~},T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
H?BEF~~,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
H?BDBBW,F,NA
H?BDBA[,F,NA
H?BDB?{,F,NA
H?BDBBw,F,NA
H?BDBB[,F,NA
H?BDBA{,F,NA
H?BDBB{,F,NA
H?BDBB],F,NA
H?BDB@},F,NA
H?BDBB},F,NA
H?BDBB~,F,NA
H?BDAbG,F,NA
H?BDA_w,F,NA
H?BDA`I,F,NA
H?BDA_Y,F,NA
H?BDA_M,F,NA
H?BDA_J,F,NA
H?BDAbg,F,NA
H?BDAaw,F,NA
H?BDAbK,F,NA
H?BDAak,F,NA
H?BDA`k,F,NA
H?BDA_{,F,NA
H?BDAbI,F,NA
H?BDAai,F,NA
H?BDA`i,F,NA
H?BDAaY,F,NA
H?BDA`Y,F,NA
H?BDA_y,F,NA
H?BDAaM,F,NA
H?BDA`M,F,NA
H?BDA_m,F,NA
H?BDA_],F,NA
H?BDAaJ,F,NA
H?BDA_j,F,NA
H?BDA_N,F,NA
H?BDAbw,F,NA
H?BDAbk,F,NA
H?BDAa{,F,NA
H?BDAbi,F,NA
H?BDAbY,F,NA
H?BDAay,F,NA
H?BDA`y,F,NA
H?BDAbM,F,NA
H?BDAam,F,NA
H?BDA`m,F,NA
H?BDAa],F,NA
H?BDA`],F,NA
H?BDA_},F,NA
H?BDAbJ,F,NA
H?BDAaj,F,NA
H?BDA`j,F,NA
H?BDA_z,F,NA
H?BDAaN,F,NA
H?BDA_n,F,NA
H?BDAb{,F,NA
H?BDAby,F,NA
H?BDAbm,F,NA
H?BDAb],F,NA
H?BDAa},F,NA
H?BDA`},F,NA
H?BDAbj,F,NA
H?BDAaz,F,NA
H?BDAbN,F,NA
H?BDAan,F,NA
H?BDA`n,F,NA
H?BDA_~,F,NA
H?BDAb},F,NA
H?BDAbz,F,NA
H?BDAbn,F,NA
H?BDAa~,F,NA
H?BDAb~,F,NA
H?BD?po,F,NA
H?BD?pW,F,NA
H?BD?pS,F,NA
H?BD?os,F,NA
H?BD?o[,F,NA
H?BD?oU,F,NA
H?BD?r@,F,NA
H?BD?p`,F,NA
H?BD?qP,F,NA
H?BD?pP,F,NA
H?BD?qD,F,NA
H?BD?pD,F,NA
H?BD?od,F,NA
H?BD?oT,F,NA
H?BD?oF,F,NA
H?BD?ro,F,NA
H?BD?rW,F,NA
H?BD?pw,F,NA
H?BD?rS,F,NA
H?BD?qs,F,NA
H?BD?ps,F,NA
H?BD?q[,F,NA
H?BD?p[,F,NA
H?BD?o{,F,NA
H?BD?qU,F,NA
H?BD?pU,F,NA
H?BD?o],F,NA
H?BD?r`,F,NA
H?BD?rP,F,NA
H?BD?pp,F,NA
H?BD?qX,F,NA
